Time,Cp
min,ug/L
2.23,334
4.2,278
6.05,245
8.03,195
10,176
15,143
20,124
25,108
30,106
32,90
34.1,77
36.1,62
38.1,60
40.1,49
42,43
45.1,38
50,33
55,28
60,24
70,20.2
80,20.2
90.2,16
100,20.2
110,20.2
120,20.2
122.8,34
127,302
129,301
131,292
133,225
135,228
140,180
145.1,167
150,152
154,155
156,137
158,132
160,99
162,104
164,83
166,76
169,62
174,48
179,41
186.8,30
218,20
249,22
250,20.2
255,20.2
262.2,370
264.2,371
265.9,382
268,395
270,394
275.1,448
280,480
285,485
290,548
292,540
294.1,455
296.2,450
298.1,380
300,315
302.4,288
305.2,232
310.1,160
315.2,109
320,82
350.1,30
380,22
400,20.2
450,20.2
