#TIME,AMT,RATE,DV,MDV
0,1669,.,.,1
0,1131.8,37.6013,.,1
2.23,,,334,0
4.2,,,278,0
6.05,,,245,0
8.03,,,195,0
10,,,176,0
15,,,143,0
20,,,124,0
25,,,108,0
30,,,106,0
32,,,90,0
34.1,,,77,0
36.1,,,62,0
38.1,,,60,0
40.1,,,49,0
42,,,43,0
45.1,,,38,0
50,,,33,0
55,,,28,0
60,,,24,0
70,,,20.2,0
80,,,20.2,0
90.2,,,16,0
100,,,20.2,0
110,,,20.2,0
120,,,20.2,0
122.8,,,34,0
125,1701,.,.,1
125.2,1884.4,64.756,.,1
127,,,302,0
129,,,301,0
131,,,292,0
133,,,225,0
135,,,228,0
140,,,180,0
145.1,,,167,0
150,,,152,0
154,,,155,0
156,,,137,0
158,,,132,0
160,,,99,0
162,,,104,0
164,,,83,0
166,,,76,0
169,,,62,0
174,,,48,0
179,,,41,0
186.8,,,30,0
218,,,20,0
249,,,22,0
250,,,20.2,0
255,,,20.2,0
260,1733,.,.,1
260.1,6300,210,.,1
262.2,,,370,0
264.2,,,371,0
265.9,,,382,0
268,,,395,0
270,,,394,0
275.1,,,448,0
280,,,480,0
285,,,485,0
290,,,548,0
292,,,540,0
294.1,,,455,0
296.2,,,450,0
298.1,,,380,0
300,,,315,0
302.4,,,288,0
305.2,,,232,0
310.1,,,160,0
315.2,,,109,0
320,,,82,0
350.1,,,30,0
380,,,22,0
400,,,20.2,0
450,,,20.2,0
