Time,Cp,Profile,Dose
min,ug/L,,mg
0,,1,10
5,150,1,
10,140,1,
15,110,1,
20,100,1,
25,80,1,
30,60,1,
35,45,1,
40,37,1,
45,30,1,
50,20,1,
55,19,1,
60,17,1,
70,13,1,
75,12,1,
80,10,1,
85,9,1,
90,8,1,
95,7,1,
105,6,1,
110,5.8,1,
115,5,1,
120,4.8,1,
150,3,1,
180,1.5,1,
210,0.9,1,
240,0.5,1,
300,0.16,1,
0,,2,30
5,235,2,
10,250,2,
15,250,2,
20,240,2,
25,230,2,
30,220,2,
35,200,2,
40,190,2,
45,160,2,
50,130,2,
55,110,2,
60,90,2,
70,60,2,
75,52,2,
80,44,2,
85,40,2,
90,30,2,
95,30,2,
105,24,2,
110,21,2,
115,20,2,
120,18,2,
150,10,2,
180,6,2,
210,3.3,2,
240,2,2,
300,0.6,2,
360,0.2,2,
0,,3,90
5,290,3,
10,310,3,
15,320,3,
20,330,3,
25,340,3,
30,350,3,
35,350,3,
40,360,3,
45,360,3,
50,360,3,
55,360,3,
60,360,3,
70,350,3,
75,340,3,
80,340,3,
85,330,3,
90,320,3,
95,300,3,
105,260,3,
110,240,3,
115,210,3,
120,200,3,
150,70,3,
180,36,3,
210,21,3,
240,12,3,
300,4,3,
360,1.2,3,
