Time,Trt,Cp,Group
0.0042,Cm,Missing,1
0.0333,Cm,5.989,1
0.1333,Cm,4.944,1
0.25,Cm,4.911,1
0.75,Cm,4.7,1
2,Cm,4,1
4,Cm,3.689,1
7,Cm,1.867,1
12,Cm,1.122,1
23,Cm,0.461,1
0.0042,Cp,Missing,1
0.0333,Cp,0.018,1
0.1333,Cp,0.0458,1
0.25,Cp,0.0764,1
0.75,Cp,0.1556,1
2,Cp,0.2967,1
4,Cp,0.44,1
7,Cp,0.356,1
12,Cp,0.216,1
23,Cp,0.082,1
0.0042,Cp,Missing,2
0.0333,Cp,6.54,2
0.1667,Cp,5.3,2
0.5,Cp,4.58,2
1,Cp,3.49,2
2,Cp,2.05,2
2.75,Cp,1.23,2
5,Cp,0.465,2
7,Cp,0.232,2
24,Cp,0.012,2
31,Cp,0.00433,2
0.0042,Cm,Missing,2
0.0333,Cm,0.0062,2
0.1667,Cm,0.0214,2
0.5,Cm,0.0492,2
1,Cm,0.0745,2
2,Cm,0.107,2
2.75,Cm,0.101,2
5,Cm,0.085,2
7,Cm,0.0641,2
24,Cm,0.0132,2
31,Cm,0.0066,2
