Time,Conc,Group,Parent_Metab
min,,,
2,100,1,parent_iv_inf
5,240,1,parent_iv_inf
10,199,1,parent_iv_inf
15,175,1,parent_iv_inf
30,110,1,parent_iv_inf
45,68,1,parent_iv_inf
60,43,1,parent_iv_inf
90,19,1,parent_iv_inf
120,10,1,parent_iv_inf
180,3.7,1,parent_iv_inf
240,2.1,1,parent_iv_inf
360,,1,parent_iv_inf
480,0.54,1,parent_iv_inf
720,,1,parent_iv_inf
1440,,1,parent_iv_inf
2,,2,metab_iv_inf
5,61,2,metab_iv_inf
10,130,2,metab_iv_inf
15,156,2,metab_iv_inf
30,140,2,metab_iv_inf
45,110,2,metab_iv_inf
60,92,2,metab_iv_inf
90,71,2,metab_iv_inf
120,61,2,metab_iv_inf
180,55,2,metab_iv_inf
240,50,2,metab_iv_inf
360,,2,metab_iv_inf
480,40,2,metab_iv_inf
720,,2,metab_iv_inf
1440,,2,metab_iv_inf
2,,3,parent_po
5,,3,parent_po
10,,3,parent_po
21,1,3,parent_po
30,25,3,parent_po
45,33,3,parent_po
60,33,3,parent_po
90,,3,parent_po
120,13,3,parent_po
180,,3,parent_po
240,1.77,3,parent_po
360,0.6,3,parent_po
480,0.25,3,parent_po
720,0.07,3,parent_po
1440,,3,parent_po
2,,4,metab_po
5,,4,metab_po
10,,4,metab_po
21,1,4,metab_po
30,205,4,metab_po
45,210,4,metab_po
60,180,4,metab_po
90,,4,metab_po
120,115,4,metab_po
180,,4,metab_po
240,85,4,metab_po
360,73,4,metab_po
480,65,4,metab_po
720,50,4,metab_po
1440,21,4,metab_po
