Time,Dose,Resp,Group
0,1.5,30,1
0,,Missing,1
1,,18,1
5,,Missing,1
10,,8,1
10,,Missing,1
15,,Missing,1
20,,Missing,1
24,,4,1
25,,Missing,1
30,,Missing,1
35,,Missing,1
40,,Missing,1
45,,Missing,1
50,,Missing,1
55,,Missing,1
60,,Missing,1
65,,Missing,1
70,,Missing,1
72,,1,1
75,,Missing,1
80,,Missing,1
85,,Missing,1
90,,Missing,1
95,,Missing,1
100,,Missing,1
105,,Missing,1
110,,Missing,1
115,,Missing,1
120,,0.2,1
120,,Missing,1
125,,Missing,1
130,,Missing,1
135,,Missing,1
140,,Missing,1
145,,Missing,1
150,,Missing,1
155,,Missing,1
160,,Missing,1
165,,Missing,1
168,,0.07,1
170,,Missing,1
175,,Missing,1
180,,Missing,1
185,,Missing,1
190,,Missing,1
195,,Missing,1
200,,Missing,1
205,,Missing,1
210,,Missing,1
215,,Missing,1
220,,Missing,1
225,,Missing,1
230,,Missing,1
235,,Missing,1
240,,0.02,1
240,,Missing,1
245,,Missing,1
250,,Missing,1
255,,Missing,1
260,,Missing,1
265,,Missing,1
270,,Missing,1
275,,Missing,1
280,,Missing,1
285,,Missing,1
290,,Missing,1
295,,Missing,1
300,,Missing,1
305,,Missing,1
310,,Missing,1
315,,Missing,1
320,,Missing,1
325,,Missing,1
330,,Missing,1
335,,Missing,1
340,,Missing,1
345,,Missing,1
350,,Missing,1
355,,Missing,1
360,,0.01,1
360,,Missing,1
365,,Missing,1
370,,Missing,1
375,,Missing,1
380,,Missing,1
385,,Missing,1
390,,Missing,1
395,,Missing,1
400,,Missing,1
405,,Missing,1
410,,Missing,1
415,,Missing,1
420,,Missing,1
425,,Missing,1
430,,Missing,1
435,,Missing,1
440,,Missing,1
445,,Missing,1
450,,Missing,1
455,,Missing,1
460,,Missing,1
465,,Missing,1
470,,Missing,1
475,,Missing,1
480,,Missing,1
485,,Missing,1
490,,Missing,1
495,,Missing,1
500,,Missing,1
504,,Missing,1
0,5,100,2
0,,Missing,2
1,,80,2
5,,Missing,2
10,,43,2
10,,Missing,2
15,,Missing,2
20,,Missing,2
24,,23,2
25,,Missing,2
30,,Missing,2
35,,Missing,2
40,,Missing,2
45,,Missing,2
50,,Missing,2
55,,Missing,2
60,,Missing,2
65,,Missing,2
70,,Missing,2
72,,12,2
75,,Missing,2
80,,Missing,2
85,,Missing,2
90,,Missing,2
95,,Missing,2
100,,Missing,2
105,,Missing,2
110,,Missing,2
115,,Missing,2
120,,7,2
120,,Missing,2
125,,Missing,2
130,,Missing,2
135,,Missing,2
140,,Missing,2
145,,Missing,2
150,,Missing,2
155,,Missing,2
160,,Missing,2
165,,Missing,2
168,,5,2
170,,Missing,2
175,,Missing,2
180,,Missing,2
185,,Missing,2
190,,Missing,2
195,,Missing,2
200,,Missing,2
205,,Missing,2
210,,Missing,2
215,,Missing,2
220,,Missing,2
225,,Missing,2
230,,Missing,2
235,,Missing,2
240,,1.6,2
240,,Missing,2
245,,Missing,2
250,,Missing,2
255,,Missing,2
260,,Missing,2
265,,Missing,2
270,,Missing,2
275,,Missing,2
280,,Missing,2
285,,Missing,2
290,,Missing,2
295,,Missing,2
300,,Missing,2
305,,Missing,2
310,,Missing,2
315,,Missing,2
320,,Missing,2
325,,Missing,2
330,,Missing,2
335,,Missing,2
340,,Missing,2
345,,Missing,2
350,,Missing,2
355,,Missing,2
360,,0.07,2
360,,Missing,2
365,,Missing,2
370,,Missing,2
375,,Missing,2
380,,Missing,2
385,,Missing,2
390,,Missing,2
395,,Missing,2
400,,Missing,2
405,,Missing,2
410,,Missing,2
415,,Missing,2
420,,Missing,2
425,,Missing,2
430,,Missing,2
435,,Missing,2
440,,Missing,2
445,,Missing,2
450,,Missing,2
455,,Missing,2
460,,Missing,2
465,,Missing,2
470,,Missing,2
475,,Missing,2
480,,Missing,2
485,,Missing,2
490,,Missing,2
495,,Missing,2
500,,Missing,2
504,,0.02,2
0,15,300,3
0,,Missing,3
1,,265,3
5,,Missing,3
10,,140,3
10,,Missing,3
15,,Missing,3
20,,Missing,3
24,,78,3
25,,Missing,3
30,,Missing,3
35,,Missing,3
40,,Missing,3
45,,Missing,3
50,,Missing,3
55,,Missing,3
60,,Missing,3
65,,Missing,3
70,,Missing,3
72,,44,3
75,,Missing,3
80,,Missing,3
85,,Missing,3
90,,Missing,3
95,,Missing,3
100,,Missing,3
105,,Missing,3
110,,Missing,3
115,,Missing,3
120,,32,3
120,,Missing,3
125,,Missing,3
130,,Missing,3
135,,Missing,3
140,,Missing,3
145,,Missing,3
150,,Missing,3
155,,Missing,3
160,,Missing,3
165,,Missing,3
168,,23,3
170,,Missing,3
175,,Missing,3
180,,Missing,3
185,,Missing,3
190,,Missing,3
195,,Missing,3
200,,Missing,3
205,,Missing,3
210,,Missing,3
215,,Missing,3
220,,Missing,3
