Time,Cp,Dose,Initial_Cp_group
min,,,
0.1,49,50,1
0.5,49.1,50,1
1,48,50,1
1.5,47,50,1
2,46,50,1
3,44.5,50,1
4,43,50,1
5,40,50,1
6,39,50,1
7,37,50,1
8,35,50,1
9,33,50,1
10,32,50,1
11,30,50,1
12,28,50,1
13,26,50,1
14,25,50,1
15,23,50,1
16,21,50,1
17,20,50,1
18,18,50,1
19,16,50,1
20,15,50,1
23,10,50,1
27,5,50,1
28,3.5,50,1
29,2.3,50,1
30,1.2,50,1
31,0.3,50,1
0.1,29,30,2
0.5,29,30,2
1,28,30,2
1.5,27,30,2
2,26,30,2
3,24,30,2
4,23,30,2
5,21,30,2
6,20,30,2
7,18,30,2
8,16,30,2
9,14,30,2
10,13,30,2
11,11,30,2
12,10,30,2
13,8.9,30,2
14,7.3,30,2
15,6,30,2
16,4.6,30,2
17,3.3,30,2
18,2.3,30,2
19,1,30,2
20,0.2,30,2
0.1,10,10,3
0.5,9,10,3
1,8,10,3
1.5,8,10,3
2,7,10,3
3,5,10,3
4,4,10,3
5,3,10,3
6,2,10,3
7,1,10,3
8,0.1,10,3
0.1,3,3,4
0.5,2.3,3,4
1,1.5,3,4
1.5,1.2,3,4
2,0.8,3,4
3,0.06,3,4
0.1,0.9,1,5
0.5,0.5,1,5
1,0.1,1,5
1.5,0.003,1,5
