Cp_uM_,Rate,Group,Exposure
,uM*gm_protein/min,uM,
5.235602094,21.09885473,1,0
5.235602094,35.60431735,1,0
10.47120419,52.08779761,1,0
26.17801047,67.91193866,1,0
47.12041885,90.98881101,1,0
73.29842932,87.03277575,1,0
15.70680628,25.05493955,2,10
26.17801047,36.26372829,2,10
104.7120419,78.46152122,2,10
251.3089005,78.46152122,2,10
502.617801,98.24173665,2,10
1000,89.67030996,2,10
15.70680628,15.16483183,3,25
26.17801047,32.96702572,3,25
104.7120419,59.3406463,3,25
251.3089005,85.71426688,3,25
502.617801,83.73624533,3,25
1000,95.60437459,3,25
15.70680628,7.912086173,4,50
26.17801047,19.78021543,4,50
104.7120419,46.81317652,4,50
251.3089005,66.59339196,4,50
502.617801,77.14284019,4,50
1000,89.67030996,4,50
15.70680628,4.615383601,5,75
26.17801047,13.8461508,5,75
104.7120419,35.60438778,5,75
251.3089005,59.99998681,5,75
502.617801,79.12086173,5,75
1000,83.73624533,5,75
15.70680628,3.956043087,6,100
26.17801047,11.20878875,6,100
104.7120419,32.30768521,6,100
251.3089005,56.04394373,6,100
502.617801,68.5714135,6,100
1000,77.14284019,6,100
