#TIME,AMT,RATE,DV,MDV
0,0.77,1.848,.,1
72.17,7.7,15.4,.,1
72.67,.,.,4.1,0
74.17,.,.,3.9,0
78.17,.,.,3.6,0
84.17,.,.,3.6,0
96.17,.,.,3.3,0
120.17,.,.,2.8,0
144.17,77,154,.,1
144.17,.,.,2.8,0
144.67,.,.,43.7,0
146.17,.,.,36,0
150.17,.,.,28.3,0
156.17,.,.,30.8,0
168.17,.,.,30.8,0
192.17,.,.,23.1,0
216.17,.,.,25.4,0
216.6,257,642.5,.,1
217,.,.,146.5,0
218.5,.,.,138.8,0
222.5,.,.,133.6,0
228.5,.,.,120.8,0
240.5,.,.,105.4,0
264.5,.,.,84.8,0
288.5,.,.,77.1,0
288.52,771,1542,.,1
289.02,.,.,488.3,0
290.5,.,.,462.6,0
294.5,.,.,436.9,0
300.5,.,.,385.5,0
312.5,.,.,359.8,0
336.5,.,.,308.4,0
360.5,.,.,282.7,0
483.92,.,.,195.3,0
651.25,.,.,136.2,0
983.92,.,.,110.5,0
1751.92,.,.,33.4,0
